,Clean Review,Review,Title,Content,Rating,Sentiment,Year,Month,Day
10,broke 2 years speakers broke couple years useless amp went inside,these broke after 2 years. my speakers broke after a couple of years - useless the amp went inside.,these broke after 2 years,my speakers broke after a couple of years - useless the amp went inside.,1,Negative,2023,5,9
11,impressive sound quality bought pair daughter good kept ordered another pair,"impressive sound quality!. bought a pair of these for my daughter, so good i kept them and ordered another pair :-)",impressive sound quality!,"bought a pair of these for my daughter, so good i kept them and ordered another pair :-)",5,Positive,2023,5,7
12,great deal,great deal.. ,great deal.,,5,Positive,2023,5,7
13,excellent great set speakers good quality sound easy connections happy,excellent. great set of speakers. good quality sound. easy connections. very happy 🙂👍,excellent,great set of speakers. good quality sound. easy connections. very happy 🙂👍,5,Positive,2023,5,4
14,perfect compact speakers item came next day promised packaging minimal affective great see not excessive waste paper speakers easy connect not sure connect speakers instructions honest size price surprised bang olufsen speakers 90 time cost 300 exceptional dubious sound quality albeit son pc playstation etc sound actually really sharp base pretty good without distortion sound loss sound bands pretty much together not lost whilst not exactly match b price surprised sound good compact size allows son shelf pretty light weight not compromise sound price worthy buy,"perfect compact speakers. item came next day as promised and packaging was minimal but affective, great to see there was not excessive waste on paper !!..the speakers were very easy to connect, if you were not sure how to connect speakers there was some instructions !..to be honest for the size and price, i was very surprised. i have bang and olufsen speakers from the 90's which at the time cost £300!! they are exceptional so was very dubious of the sound quality albeit they are for my son and his pc/playstation etc.. the sound was actually really sharp and the base was pretty good without any distortion or sound loss. the sound bands were pretty much together and not lost at all..whilst not exactly a match for my b&o, for the price i was so surprised. the sound is so good, and their compact size allows my son to have these on his shelf above him. pretty light weight but they do not compromise on sound..all in all for the price these are a worthy buy",perfect compact speakers,"item came next day as promised and packaging was minimal but affective, great to see there was not excessive waste on paper !!..the speakers were very easy to connect, if you were not sure how to connect speakers there was some instructions !..to be honest for the size and price, i was very surprised. i have bang and olufsen speakers from the 90's which at the time cost £300!! they are exceptional so was very dubious of the sound quality albeit they are for my son and his pc/playstation etc.. the sound was actually really sharp and the base was pretty good without any distortion or sound loss. the sound bands were pretty much together and not lost at all..whilst not exactly a match for my b&o, for the price i was so surprised. the sound is so good, and their compact size allows my son to have these on his shelf above him. pretty light weight but they do not compromise on sound..all in all for the price these are a worthy buy",5,Positive,2023,5,4
15,amazing sound price ive blown away speakers 79 99 really studio monitors may not best not low quality dont think speaker price point comes closes,amazing sound for price. ive been blown away from these speakers for 79.99.they really are studio monitors.may not be the best but are not low quality at all.dont think any speaker in this price point comes closes,amazing sound for price,ive been blown away from these speakers for 79.99.they really are studio monitors.may not be the best but are not low quality at all.dont think any speaker in this price point comes closes,5,Positive,2023,5,3
16,great speakers bought speakers use new gaming pc haven disappointed well packaged look sound great often listen music house wanted speakers also good bass perform brilliant low price,"great speakers. bought these speakers to use for my new gaming pc and they haven’t disappointed. well packaged, look and sound great. i often listen to music such as house so wanted speakers that could also have good bass and they would perform. brilliant for such a low price.",great speakers,"bought these speakers to use for my new gaming pc and they haven’t disappointed. well packaged, look and sound great. i often listen to music such as house so wanted speakers that could also have good bass and they would perform. brilliant for such a low price.",5,Positive,2023,5,2
17,everything ever wanted best sound ever presonus e5bt incredible clear sound reference speakers absolutely brilliant desktop setup laptop desktop computer ideal small studios e5bt gives excellent sound lots functionality easy setup pleasure use everything want front left speaker power volume line phones bt5 works well easy connect anything 5 inch driver gives full clear sound rear port adds solid accurate bass response eq flat pancake left speaker actively amped right passive amp jumps output 50w 5 better quality 3 4 inch 25w uniquely trs sub nice connecting sub quick easy cheap rear ported need space not bang brick wall basic acoustic modeling chosen speaker position possible controls rear speaker see end post studio setup lowest volumes need cut line volume freebie music software distraction don waste time get ableton e5bt quality clarity makes music production dream hear every detail every track picked modified levels accurately set dump cables supplied box get good quality shielded cable connectors tisino make trs stereo splitter cable amazon good choice basic direct computer connection 3 5 jack line voltages well shielded risk interference hum crosstalk pro speakers good practice switch power speakers first last accidental pops explosive cracks damage near field worth getting 5 inch no substitute shifting lots air 5 full solid bass double amp power get lots headroom distortion good value money speak,"everything you've ever wanted - best sound ever.. presonus e5bt incredible clear sound. these reference speakers are absolutely brilliant for a desktop setup with a laptop or desktop computer. ideal for small studios. the e5bt gives excellent sound, has lots of functionality, is easy to setup, a pleasure to use. everything you could want is on the front of the left speaker – power, volume, line in, phones out, & bt5 that works very well – easy connect anything. the 5 inch driver gives a full clear sound & the rear port adds a solid accurate bass response. eq as flat as a pancake. only the left speaker is actively amped, the right is passive. the amp jumps in output to 50w in the 5’s & is better quality - the 3 & 4 inch are 25w. uniquely there’s a trs sub-out which is nice, so connecting a sub is quick, easy & cheap. they are rear ported so they need some space – not bang up against a brick wall. basic acoustic modeling for the chosen speaker position is possible with controls at the rear of the speaker - see end of post for studio setup. for the lowest volumes you’ll need to cut the line volume. the freebie music software is a distraction, so don’t waste your time - get ableton..the e5bt’s quality & clarity makes music production a dream. you can hear every detail, so every track can be picked out, modified & levels accurately set. dump the cables supplied in the box & get some good quality shielded cable connectors. tisino make a trs stereo splitter cable from amazon - a good choice for a basic direct computer connection with a 3.5 jack. all line voltages should be well shielded or you risk interference, hum, crosstalk. as with all pro speakers its good practice to switch the power to the speakers - off first - on last - accidental pops & explosive cracks do damage..these are near field but it’s worth getting the 5 inch as there is no substitute for shifting lots of air – the 5’s have a full solid bass & double the amp power, so you get lots of headroom before distortion. they are good value for money. these speak",everything you've ever wanted - best sound ever.,"presonus e5bt incredible clear sound. these reference speakers are absolutely brilliant for a desktop setup with a laptop or desktop computer. ideal for small studios. the e5bt gives excellent sound, has lots of functionality, is easy to setup, a pleasure to use. everything you could want is on the front of the left speaker – power, volume, line in, phones out, & bt5 that works very well – easy connect anything. the 5 inch driver gives a full clear sound & the rear port adds a solid accurate bass response. eq as flat as a pancake. only the left speaker is actively amped, the right is passive. the amp jumps in output to 50w in the 5’s & is better quality - the 3 & 4 inch are 25w. uniquely there’s a trs sub-out which is nice, so connecting a sub is quick, easy & cheap. they are rear ported so they need some space – not bang up against a brick wall. basic acoustic modeling for the chosen speaker position is possible with controls at the rear of the speaker - see end of post for studio setup. for the lowest volumes you’ll need to cut the line volume. the freebie music software is a distraction, so don’t waste your time - get ableton..the e5bt’s quality & clarity makes music production a dream. you can hear every detail, so every track can be picked out, modified & levels accurately set. dump the cables supplied in the box & get some good quality shielded cable connectors. tisino make a trs stereo splitter cable from amazon - a good choice for a basic direct computer connection with a 3.5 jack. all line voltages should be well shielded or you risk interference, hum, crosstalk. as with all pro speakers its good practice to switch the power to the speakers - off first - on last - accidental pops & explosive cracks do damage..these are near field but it’s worth getting the 5 inch as there is no substitute for shifting lots of air – the 5’s have a full solid bass & double the amp power, so you get lots of headroom before distortion. they are good value for money. these speak",5,Positive,2023,4,28
18,not like first near field monitor speakers designed flat frequency response means need closer near ear height speaker separation dependent distance form optimum triangle complete recommended listening position unlike consumer speakers eq set speaker level provide uncoloured flat eq response gives accurate representation input sound source mix audio without adding unwanted eq bias straight box not tuned room acoustics not like slightly bass heavy due lower frequencies sound reflecting walls tweaked bass 1 db treble 1 db result perfect purposes bluetooth connectivity convenient function front switch volume control aux headphones great design features recommend using balanced trs inputs build quality product excellent not forget register software downloads handy setup tutorial,"did not like at first?. these are near-field monitor speakers designed to have a flat frequency response. this means they need to be closer to you at near-ear height, with speaker separation dependent on distance to form that optimum triangle you complete in the recommended listening position. unlike consumer speakers with eq set at speaker level, these provide an uncoloured flat eq response. this gives a more accurate representation of the input sound source, so now you can mix your audio without adding any unwanted eq bias. straight out of the box and not tuned to my room acoustics, i didn't like they were slightly bass heavy due to the lower frequencies of sound reflecting off walls. i tweaked the bass by -1 db and the treble by +1 db, the result is now perfect for my purposes. the bluetooth connectivity is just a convenient function for me, the front on/off switch, volume control, aux in and headphones out are great design features. i recommend using the balanced trs inputs. the build quality of this product is excellent. don't forget to register for software downloads and a handy setup tutorial.",did not like at first?,"these are near-field monitor speakers designed to have a flat frequency response. this means they need to be closer to you at near-ear height, with speaker separation dependent on distance to form that optimum triangle you complete in the recommended listening position. unlike consumer speakers with eq set at speaker level, these provide an uncoloured flat eq response. this gives a more accurate representation of the input sound source, so now you can mix your audio without adding any unwanted eq bias. straight out of the box and not tuned to my room acoustics, i didn't like they were slightly bass heavy due to the lower frequencies of sound reflecting off walls. i tweaked the bass by -1 db and the treble by +1 db, the result is now perfect for my purposes. the bluetooth connectivity is just a convenient function for me, the front on/off switch, volume control, aux in and headphones out are great design features. i recommend using the balanced trs inputs. the build quality of this product is excellent. don't forget to register for software downloads and a handy setup tutorial.",5,Positive,2023,4,28
19,neutral sonics first pair studio monitors enjoyed listening pc media first noticed silent neutral presentation used use q acoustics bt3 speakers certainly clearer acoustic not producing music far happy sound construction adequate,very neutral sonics. these are my first pair of studio monitors and i have enjoyed listening to my pc media through them. first noticed how silent they are and neutral in their presentation. used to use the q acoustics bt3 speakers and these certainly have a clearer acoustic. not producing music but so far very happy with their sound and the construction is more than adequate.,very neutral sonics,these are my first pair of studio monitors and i have enjoyed listening to my pc media through them. first noticed how silent they are and neutral in their presentation. used to use the q acoustics bt3 speakers and these certainly have a clearer acoustic. not producing music but so far very happy with their sound and the construction is more than adequate.,5,Positive,2023,4,28
20,badly manufactured glue missing main cone resulted bad vibrations hissing not happy overall build monitors not recommend anyone,"badly manufactured!!. glue missing on the main cone which resulted in bad vibrations and hissing, not happy with the overall build of these monitors, would not recommend to anyone",badly manufactured!!,"glue missing on the main cone which resulted in bad vibrations and hissing, not happy with the overall build of these monitors, would not recommend to anyone",2,Negative,2023,4,28
21,great use kawai keyboard neat well made accurate neutral crisp perfect needs although tempted add eris sub 8,"great!. i use them with my kawai keyboard. neat, well made, accurate, neutral and crisp. perfect for my needs, although i am tempted to add an eris sub 8, just.... because....",great!,"i use them with my kawai keyboard. neat, well made, accurate, neutral and crisp. perfect for my needs, although i am tempted to add an eris sub 8, just.... because....",5,Positive,2023,4,26
22,wicked speakers price size blown away quality sound loud good bass no distortion highly recommended,wicked speakers. for the price and size i was blown away by the quality of sound on these. very loud and good bass with no distortion. highly recommended,wicked speakers,for the price and size i was blown away by the quality of sound on these. very loud and good bass with no distortion. highly recommended,5,Positive,2023,4,24
23,good quality sound bought husbands small music room link gadgets pleased sound quality,good quality sound. bought for my husbands small music room to link up to all his gadgets! he's pleased with the sound and quality.,good quality sound,bought for my husbands small music room to link up to all his gadgets! he's pleased with the sound and quality.,5,Positive,2023,4,22
24,running delivered well respectfully great little speakers power punch aa previous mackie 5 studio monitors stopped working bought work great home studio running thank goodness,"up and running. delivered well and respectfully. great little speakers with the same power punch aa my previous mackie 5"" studio monitors which just stopped working. so bought these and they work great 👍. my home studio is up and running again thank goodness.",up and running,"delivered well and respectfully. great little speakers with the same power punch aa my previous mackie 5"" studio monitors which just stopped working. so bought these and they work great 👍. my home studio is up and running again thank goodness.",5,Positive,2023,4,19
25,make music buy wow great speakers small powerful enough needs producer tempted another pair bluetooth also im sooo glad got registering speakers gets free plugins 15 plugins software 16 include 3 month trial soundsnap dont see image included freebies alone makes soo worth theres plugin alliance bundle included thats worth 400 see images get free terms monitors job silent no hiss hum great sound keep bass treble centred obviously preference way mix best purchase year thank pre sonus,"if you make music; buy these!. wow, these are great speakers. small, but powerful enough for my needs as a producer..i was tempted by another pair that were bluetooth also. im sooo glad i got these...registering these speakers gets you some free plugins too. 15 plugins and software (16 if you include the 3 month trial to soundsnap- which i dont) see image of included freebies...this alone makes these soo worth it..theres a plugin alliance bundle included thats worth over £400 (see images) and you get for free...in terms of the monitors themselves, they do the job. silent when on (no hiss or hum) great sound. i keep bass and treble centred but is obviously down to preference and the way you mix...best purchase of the year for me. thank you pre-sonus!",if you make music; buy these!,"wow, these are great speakers. small, but powerful enough for my needs as a producer..i was tempted by another pair that were bluetooth also. im sooo glad i got these...registering these speakers gets you some free plugins too. 15 plugins and software (16 if you include the 3 month trial to soundsnap- which i dont) see image of included freebies...this alone makes these soo worth it..theres a plugin alliance bundle included thats worth over £400 (see images) and you get for free...in terms of the monitors themselves, they do the job. silent when on (no hiss or hum) great sound. i keep bass and treble centred but is obviously down to preference and the way you mix...best purchase of the year for me. thank you pre-sonus!",5,Positive,2023,4,18
26,amazing sound quality ridiculously good small fill room vibrant sound price incredible better samsung speakers cost double price highly recommended,"amazing. the sound quality from these is ridiculously good, they are only small and fill the room with vibrant sound. for the price they are incredible, better than my samsung speakers that i have which cost more than double the price. highly recommended",amazing,"the sound quality from these is ridiculously good, they are only small and fill the room with vibrant sound. for the price they are incredible, better than my samsung speakers that i have which cost more than double the price. highly recommended",5,Positive,2023,4,18
27,monitors worth every penny good round monitors excellent value perfect small home studio,these monitors are worth every penny.. very good all round monitors. excellent value and perfect for the small home studio.,these monitors are worth every penny.,very good all round monitors. excellent value and perfect for the small home studio.,4,Positive,2023,4,17
28,4 5 amazing quality value months astounded quality price point hooked scarlett solo 3rd gen audio interface never looked back,"4.5"" amazing quality and value. had these for a few months now and have just been astounded by the quality for the price point. hooked these up to my scarlett solo 3rd gen audio interface and have never looked back.","4.5"" amazing quality and value",had these for a few months now and have just been astounded by the quality for the price point. hooked these up to my scarlett solo 3rd gen audio interface and have never looked back.,5,Positive,2023,4,14
29,compact sound great use speakers pc happy price sound good come useful selection inputs kind audiophile looks oxygen free copper cables gold contacts mains plugs hate need powered speakers pc kitchen likely entirely satisfied,compact and sound great. i'm use these as speakers for my pc and i'm very happy with them. for the price they sound good and come with a useful selection of inputs. if you're the kind of audiophile who looks for oxygen-free copper cables and gold contacts on your mains plugs then you'll hate them. if you just need some powered speakers for your pc or your kitchen then you'll likely be entirely satisfied.,compact and sound great,i'm use these as speakers for my pc and i'm very happy with them. for the price they sound good and come with a useful selection of inputs. if you're the kind of audiophile who looks for oxygen-free copper cables and gold contacts on your mains plugs then you'll hate them. if you just need some powered speakers for your pc or your kitchen then you'll likely be entirely satisfied.,5,Positive,2023,4,12
30,outstanding price good advertised one two useful vst plugins included,outstanding for the price. as good as advertised and one or two useful vst plugins included!,outstanding for the price,as good as advertised and one or two useful vst plugins included!,5,Positive,2023,4,12
31,made big difference small bedroom studio use presonus sub pair kali lp6s adding sub meant monitors headroom sound small studio much enjoyable master track using set no lot fun making music critical listening use decent pair headphones,"made big difference in my small bedroom studio.. i use the presonus sub with a pair of kali lp6s and adding the sub meant that the monitors have more headroom and the sound in my small studio is so much more enjoyable. could i master a track using this set up? no. but i have a lot more fun making music now, and for critical listening i use a decent pair of headphones.",made big difference in my small bedroom studio.,"i use the presonus sub with a pair of kali lp6s and adding the sub meant that the monitors have more headroom and the sound in my small studio is so much more enjoyable. could i master a track using this set up? no. but i have a lot more fun making music now, and for critical listening i use a decent pair of headphones.",5,Positive,2023,4,5
32,wow amazing not expect much clarity base fantastic using produce music hobbie home studio exceeded expectations great price hear every single channel instrument vocals definitely recommend sure probably best monitor speakers purchased years also larger expected good thing easy setup,"wow amazing!. i didn't expect this much clarity and the base is fantastic. i am using these to produce music ""hobbie"" home studio and they exceeded my expectations for such a great price. you can hear every single channel, instrument, vocals. i would definitely recommend these for sure. probably the best monitor speakers i have purchased over the years. they are also larger than expected which is a good thing, easy to setup.",wow amazing!,"i didn't expect this much clarity and the base is fantastic. i am using these to produce music ""hobbie"" home studio and they exceeded my expectations for such a great price. you can hear every single channel, instrument, vocals. i would definitely recommend these for sure. probably the best monitor speakers i have purchased over the years. they are also larger than expected which is a good thing, easy to setup.",5,Positive,2023,4,1
33,good bass reproduction size good sub small medium sized room good bass 8 inch woofer use stereo setup home theatre value money good music paired q accoustics 3030i nad 3045 amp bow get full bass missing bookshelf speakers value money product good sturdy build,"very good bass reproduction for the size. very good sub for small to medium sized room, very good bass from the 8 inch woofer , use it for stereo setup in my home theatre, value for money, very good for music, paired it with my q accoustics 3030i’s and nad 3045 d amp, bow i get the full bass missing in bookshelf speakers, value for money product, good sturdy build.",very good bass reproduction for the size,"very good sub for small to medium sized room, very good bass from the 8 inch woofer , use it for stereo setup in my home theatre, value for money, very good for music, paired it with my q accoustics 3030i’s and nad 3045 d amp, bow i get the full bass missing in bookshelf speakers, value for money product, good sturdy build.",5,Positive,2023,4,1
34,virtually unusable due signal noise tl dr don buy subwoofer terrible product hums hisses really wanted love subwoofer basically unusable due noise always hums powered even not connected anything another reviewer mentioned problem transformer fixed adding padding transformer confirm don technical skills don think expected fix things fire hazard introduces hissing noises eris 3 5 speakers connected computer even use external dac speakers not pick noise connect computer directly without subwoofer introduces hissing noises eris 3 5 speakers connected macbook every time use magic trackpad magic keyboard eris 3 5 speakers not hiss not connected subwoofer tried resolving issue using power conditioner trying different combinations devices cables wall sockets no joy none audio products problem conclude product faulty plain bad electronics inside maybe transformer amplifier rare moments got work without producing much noise apart hum moments seemed produce good sound although no audiophile,"virtually unusable due to signal noise. tl;dr: don’t buy this subwoofer; it’s a terrible product that hums and hisses...i really wanted to love this subwoofer, but it’s basically unusable due to all the noise:..- it always hums when it’s powered on, even if it’s not connected to anything. another reviewer mentioned that’s a problem with the transformer and they fixed it by adding some padding to the transformer themselves. i can’t confirm: i don’t have such technical skills and i don’t think i should be expected to fix such things myself; could be a fire hazard!.- it introduces hissing noises to my eris 3.5 speakers when connected to my computer, even if i use an an external dac. these speakers do not pick up noise if i connect them to my computer directly without the subwoofer..- it introduces hissing noises to my eris 3.5 speakers when connected to my macbook every time i use my magic trackpad or magic keyboard. again, the eris 3.5 speakers do not hiss if not connected through the subwoofer...i have tried resolving the issue by using a power conditioner, and by trying different combinations of devices, cables, and wall sockets, but no joy. none of my other audio products have this problem. i can only conclude that this product has some some faulty or just plain bad electronics inside, maybe the transformer or amplifier...on the rare moments i got it to work without producing too much noise (apart from the hum) for a few moments it seemed to produce good sound, although i am no audiophile.",virtually unusable due to signal noise,"tl;dr: don’t buy this subwoofer; it’s a terrible product that hums and hisses...i really wanted to love this subwoofer, but it’s basically unusable due to all the noise:..- it always hums when it’s powered on, even if it’s not connected to anything. another reviewer mentioned that’s a problem with the transformer and they fixed it by adding some padding to the transformer themselves. i can’t confirm: i don’t have such technical skills and i don’t think i should be expected to fix such things myself; could be a fire hazard!.- it introduces hissing noises to my eris 3.5 speakers when connected to my computer, even if i use an an external dac. these speakers do not pick up noise if i connect them to my computer directly without the subwoofer..- it introduces hissing noises to my eris 3.5 speakers when connected to my macbook every time i use my magic trackpad or magic keyboard. again, the eris 3.5 speakers do not hiss if not connected through the subwoofer...i have tried resolving the issue by using a power conditioner, and by trying different combinations of devices, cables, and wall sockets, but no joy. none of my other audio products have this problem. i can only conclude that this product has some some faulty or just plain bad electronics inside, maybe the transformer or amplifier...on the rare moments i got it to work without producing too much noise (apart from the hum) for a few moments it seemed to produce good sound, although i am no audiophile.",1,Negative,2023,3,30
35,cannot believe sound good cannot believe sound good love shape speakers easy setup controls right place easy operate recommend machine anyone,"cannot believe that sound could so good. cannot believe that sound could be so good..love the shape of the speakers, and it was easy to setup..all the controls are in the right place,so easy to operate.would recommend this machine to anyone",cannot believe that sound could so good,"cannot believe that sound could be so good..love the shape of the speakers, and it was easy to setup..all the controls are in the right place,so easy to operate.would recommend this machine to anyone",5,Positive,2023,3,28
36,sound pound love budget dictated probably prefer next size suit small room pairing eris sub8 soon definitely go eris 5 couldn fit sub space,"sound for pound. love them. budget dictated these, would probably prefer the next size up but these suit my small room. will be pairing with eris sub8 soon, and that’ll do me for a while. would’ve definitely had to go for eris 5 if i couldn’t fit a sub in the space.",sound for pound,"love them. budget dictated these, would probably prefer the next size up but these suit my small room. will be pairing with eris sub8 soon, and that’ll do me for a while. would’ve definitely had to go for eris 5 if i couldn’t fit a sub in the space.",5,Positive,2023,3,28
37,decent not audiophile freak gaming listening music pc speakers years confirm bollox,"decent. i am not an audiophile freak, but i have been gaming and listening to music through pc speakers for years and can confirm these are the bollox.",decent,"i am not an audiophile freak, but i have been gaming and listening to music through pc speakers for years and can confirm these are the bollox.",5,Positive,2023,3,26
