,Title,Rating,Content
13,amazing sound for price,5,"ive been blown away from these speakers for 79.99
they really are studio monitors
may not be the best but are not low quality at all
dont think any speaker in this price point comes closes"
14,Great speakers,5,"Bought these speakers to use for my new gaming pc and they haven’t disappointed. Well packaged, look and sound great. I often listen to music such as House so wanted speakers that could also have good bass and they would perform. Brilliant for such a low price."
15,Everything you've ever wanted - best sound ever.,5,"PreSonus E5BT Incredible clear sound. These reference speakers are absolutely brilliant for a desktop setup with a laptop or desktop computer. Ideal for small studios. The E5BT gives excellent sound, has lots of functionality, is easy to setup, a pleasure to use. Everything you could want is on the front of the left speaker – power, volume, line in, phones out, & BT5 that works very well – easy connect anything. The 5 inch driver gives a full clear sound & the rear port adds a solid accurate bas"
16,Did not like at First?,5,"These are near-field monitor speakers designed to have a flat frequency response. This means they need to be closer to you at near-ear height, with speaker separation dependent on distance to form that optimum triangle you complete in the recommended listening position. Unlike consumer speakers with EQ set at speaker level, these provide an uncoloured flat EQ response. This gives a more accurate representation of the input sound source, so now you can mix your audio without adding any unwanted E"
17,Very neutral sonics,5,These are my first pair of studio monitors and I have enjoyed listening to my pc media through them. First noticed how silent they are and neutral in their presentation. Used to use the Q Acoustics BT3 speakers and these certainly have a clearer acoustic. Not producing music but so far very happy with their sound and the construction is more than adequate.
18,Badly manufactured!!,2,"Glue missing on the main cone which resulted in bad vibrations and hissing, not happy with the overall build of these monitors, would not recommend to anyone"
19,Great!,5,"I use them with my Kawai keyboard. Neat, well made, accurate, neutral and crisp. Perfect for my needs, although I am tempted to add an Eris Sub 8, just.... because...."
20,Wicked speakers,5,For the price and size I was blown away by the quality of sound on these. Very loud and good bass with no distortion. Highly recommended
21,Good quality sound,5,Bought for my husbands small music room to link up to all his gadgets! He's pleased with the sound and quality.
22,Up and running,5,"Delivered well and respectfully. Great little speakers with the same power punch aa my previous Mackie 5"" studio monitors which just stopped working. So bought these and they work great 👍. My home studio is up and running again thank goodness."
23,if you make music; buy these!,5,"wow, these are great speakers. small, but powerful enough for my needs as a producer.
I was tempted by another pair that were bluetooth also. im SOOO glad I got these.

registering these speakers gets you some free plugins too. 15 plugins and software (16 if you include the 3 month trial to soundsnap- which I dont) see image of included freebies.

this alone makes these soo worth it.
theres a Plugin Alliance bundle included thats worth over £400 (see images) and you get for free.

in terms of th"
24,Amazing,5,"The sound quality from these is ridiculously good, they are only small and fill the room with vibrant sound. For the price they are incredible, better than my Samsung speakers that I have which cost more than double the price. Highly recommended"
25,These monitors are worth every penny.,4,Very good all round monitors. Excellent value and perfect for the small home studio.
26,"4.5"" Amazing quality and value",5,Had these for a few months now and have just been astounded by the quality for the price point. Hooked these up to my Scarlett Solo 3rd gen audio interface and have never looked back.
27,Compact and sound great,5,I'm use these as speakers for my PC and I'm very happy with them. For the price they sound good and come with a useful selection of inputs. If you're the kind of audiophile who looks for oxygen-free copper cables and gold contacts on your mains plugs then you'll hate them. If you just need some powered speakers for your PC or your kitchen then you'll likely be entirely satisfied.
28,Outstanding for the price,5,As good as advertised and one or two useful VST plugins included!
29,Made big difference in my small bedroom studio.,5,"I use the Presonus sub with a pair of Kali LP6s and adding the sub meant that the monitors have more headroom and the sound in my small studio is so much more enjoyable. Could I master a track using this set up? No. But I have a lot more fun making music now, and for critical listening I use a decent pair of headphones."
30,Wow Amazing!,5,"I didn't expect this much clarity and the base is fantastic. I am using these to produce music ""hobbie"" home studio and they exceeded my expectations for such a great price. You can hear every single channel, instrument, vocals. I would definitely recommend these for sure. Probably the best monitor speakers I have purchased over the years. They are also larger than expected which is a good thing, easy to setup."
31,Very Good Bass reproduction for the Size,5,"Very Good sub For Small to Medium sized room, Very Good Bass from the 8 inch woofer , use it for stereo setup in my Home Theatre, value for money, very good for music, paired it with my Q Accoustics 3030i’s and NAD 3045 D amp, Bow I get the full Bass missing in Bookshelf speakers, value for money product, Good sturdy build."
32,Virtually unusable due to signal noise,1,"TL;DR: don’t buy this subwoofer; it’s a terrible product that hums and hisses.

I really wanted to love this subwoofer, but it’s basically unusable due to all the noise:

- it always hums when it’s powered on, even if it’s not connected to anything. Another reviewer mentioned that’s a problem with the transformer and they fixed it by adding some padding to the transformer themselves. I can’t confirm: I don’t have such technical skills and I don’t think I should be expected to fix such things mys"
33,cannot believe that sound could so good,5,"cannot believe that sound could be so good.
love the shape of the speakers, and it was easy to setup.
all the controls are in the right place,so easy to operate
would recommend this machine to anyone"
34,Sound For Pound,5,"Love them. Budget dictated these, would probably prefer the next size up but these suit my small room. Will be pairing with Eris Sub8 soon, and that’ll do me for a while. Would’ve definitely had to go for Eris 5 if I couldn’t fit a sub in the space."
35,Decent,5,"I am not an audiophile freak, But I have been gaming and listening to music through pc speakers for years and can confirm these are the bollox."
36,Fabulous,5,"Bought some creative speakers to replace some old edifier speakers that had died, absolute waste of time for music, gaming even watching a video pod. Bought these after three weeks of creative and the difference is night and day, Double the price of the creatives but ten times the performance, great value for money"
37,This is a real bargain,5,If your budget is tight and looks for a real monitor speakers in a average room. This brand is the way to go.
38,"Boom, boom. Boom",5,Neighbours hate it.
39,"Amazing speakers, terrible software!",4,"These speakers truly are the best sounding speakers I have ever owned, Cristal clear, highs, lows, mids, they honestly are perfect. You will not be disappointed. I managed to get them on Amazon monthly payment plan, which is just amazing! Thank you Amazon!!! :) There is a but, coming up though. The Studio One software that's included with the speakers, is truly horrible to use, and with all of the plug ins and downloads, it took up, 'wait for it' 20 gig of my laptop's memory. 3 days of downloads"
40,Great small monitors,5,"I found these to be very good for the price , def worth the price ."
41,Great desktop speakers,5,"I just use them for listening to music at my desktop, so not as music production monitors. I thought about getting the smaller version with a sub woofer but these produce plenty of bass and sound great."
42,Very good speakers for the price!,5,"These speakers are very good for the price! An excellent addition for desktop speakers.The sound quality is very clear and well balanced. The volume is alot higher when sat infront of the speakers and there is a noticeable drop off when not positioned directly infront of them, but because I've bought them to be predominiently be desktop speakers this isn't an issue for me! The added bluetooth feature is also great and very easy to setup! Very pleased with these speakers."
43,good overall sound small & flexable,5,good little bit of kit
44,"Amazing raw sound for such a low, low price",5,"These are probably the best monitors I have ever purchased. Great raw sound especially when used with your favourite DAW. Would seriously, highly recommend as you won't get anything close to this for cheaper.."
45,Nice looking speakers for my home studio,5,No problems with the speakers except I am getting bit mixed up with setting them up lol I know it’s just me will have a word with my son he is bit more knowledgeable with pa setting it up .I noticed the manufactures have a support I will use if I get stuck ?
46,The best budget monitors,5,"These studio monitors definitely punch above their weight. Having previously owned various sub-£100 monitors, I was expecting these to do the job but not blow me away. When I set them up I found the sound flat and clear - perfect for mixing.

Paired with a speaker EQ software such as SoundID, I've found that I don't feel like I need to upgrade these in the next few years.

One benefit for me is that they don't use much power - I have a small room with only 1 plug socket so needed speakers that w"
47,So happy with this purchase ;),5,"Now I'm a cheapskate.... I needed to replace the cheap PC speakers I was using, so I opted for the cheapest PC speakers on Amazon. Big mistake. Now I'm no audiophile, but these were terrible tinny speakers, and I couldn't bear listening to them a moment longer, so I sent them back immediately!

THEN I ordered these PreSonus studio monitors, and even though they were about 5x as expensive as the previous speakers they are 100% worth it!! These are simply awesome speakers, definitely the best spea"
48,quality product,4,does the job well and well priced
49,Arrived damaged.,1,"I was after a set of smaller monitors for my desktop video editing setup on a recommendation from a friend who has a set, and these fit the bill perfectly. They're loud (surprisingly so!), compact and discreet sat next to my monitors. The sound would normally be excellent I'm sure of it, but unfortunately, the bass woofer on the right side speaker is rattling, even at lower volumes, and there's a distinct rattle when you shake the speaker, so I would assume it's a transit issue. I've mounted the"
50,Speaker quality - great sounding,4,"A friend who is a excellent music producer bought this product and the feedback is : great sounding, superb quality. Perfect speaker size - packaged well. Recommended."
51,Impressive,5,
52,Pairs beautifully,5,"Well, it took three goes and boy; that is less than ideal.

First two had issues and I think the second sub was a return if I’m being honest.

The thing to watch with this kind of device, anything actively powered, the inbuilt power aspect can cause vibration. The second sub I ordered had a terrible hum which I reduced by getting the volume balanced between the Eris 4.5s and the sub and the interface for my Mac

The first sub just stopped producing bass; which I sent back no issue but the second"
53,"Clear sound, rich in detail",5,"For the price, and considering their size, these monitors are really great. I've been happily using them for general music listening as well as for music production. I highly recommend pairing them with speaker stands as this improved the excellent sound even further. I got the Kanto S2."
54,Excellent,5,"Wow, amazing sound from a 3.5 monitor. Very happy"
55,Very happy,5,"A lot bigger than I expected but no complaints. They look and sound great. Excellent quality for the price, I'm pleasantly surprised!"
56,No nonsense speakers with impressive sound quality,5,"I saw these speakers on a YouTuber's desk setup and he was raving about them. So I figured I'd give them a bash.

I was using the built in speaker on my Macbook or my monitor. Both I found were similar in quality and I felt sound was OK. Nothing spectacular but I felt OK given I'm not a audiophile. It gets the job done and I can listen to YouTube and Spotify OK.

So I was curious how I would find the speakers and if I'd resent the extra space it takes on my desk. I've spent a lot of time/money m"
57,Yeah good value for money,3,"Good speakers for the price.
Clear, accurate, clean speakers which I bought for improving my day to day audio when wfh and either on teams or listening to music.

Would a more ‘domestic’ speaker have been better than a speaker trying to be a budget monitor speaker, I don’t know. Probably. Maybe.

But this is good, has Bluetooth, works well and got simple controls with minimum fuss."
58,Fantastic lower price monitors,4,"After trying 2 pairs of refurbished speakers which didn’t work properly! I bought these brand new, and they’re perfect for a small home studio."
59,Good speakers with a few reservations,4,"I've only just connected these speakers to my PC (for music, streaming, etc as opposed to gaming) so these are my first impressions.

The sound is pretty good for the speaker size. There is good bass without it being overwhelming (I've increased the bass slightly). I was slightly worried before buying them that I might need to buy a separate cable to connect to my PC, but this proved not to be the case - everything was included (though the instructions were not - see below).

There are a few thi"
60,These speakers are pretty bad,1,"I wanted a small pair of best selling speakers for space saving reasons and to compare my mixes against my Adam A77X.

First off these speakers are in no way professional monitors and any photograph or review telling you otherwise is simply marketing hype and straight up lies. If you do want pro sound from your speakers expect to pay 1k upwards.

These speakers are pretty bad in terms of sound quality dispersing alot of reverberation from the cabinets.

If your buying these don't buy them in ord"
61,Great value for home recording or active listening,5,"Affordable price, Cristal sound and clear bass despite the size of the monitors. Also BT works really nice.

“Cons”: these wouldn’t be my choice for a large room."
62,Great speakers,5,"Great speakers, quality sound and loud volume.
Would definitely recommend!"
63,No good at all for monitors,1,"Sound quality is very bad. It is not my source as they were plugged into a proper desk.

Ok 25 W more like 2W distortion is the only thing they do well. I've heard better from 99p store speakers

Possibly the worst speakers I've ever heard. Sending back for refund. Avoid"
64,Great quality for the PC.,4,Bought these as others in a similar range were larger. They are surprisingly good for a 3.5 inch speaker. Not heard of this make before but they are well made and all the controls and connections are quality. Very pleased on the whole. Might get the 8 inch sub to compliment them although the bass depth is pretty good for the size. At £76 on offer they are a bargain :-)
65,Great quality,5,"Use these monitors for music/music production and gaming, Excellent sound. Very pleased."
66,Adds the boom boom.,5,"Bought to complement a set of desktop Eris e3.5 speakers.

This sub hits hard and is very loud. I had to turn the gain all the way down and it's still borderline too loud sometimes. Resolved the issue by turning the overall system output volume down and turning the speaker gain up to compensate.

I'd recommend connecting the sub / speakers with Y-splitters from your source rather than in series, I encountered a ground loop when connected that way."
67,Excellent speakers for the price!,5,"These are really good reference speakers, the highs and mids are really clear and the bass is present, but nice and tight, the bass compliments the speakers instead of drowning everything out.

Basically you get what you put into these speakers, upgrade your wires and connectors, instead of what comes in the box, and boy do these speakers respond!

You hear what you're supposed to with these speakers, if there's bass in the mix then tight bass is what you get, likewise if there's little to no ba"
68,Sounds fine but there is a fizzing sound even with the gain turned right down,3,They sound good but unfortunately there is a buzz even with the gain turned to zero. I have returned mine to find something else
69,Perfect for people in a tight space,4,Great sound and perfect for small spaces. Recommend if you live in a small apartment/flat but still want quality studio monitors.
70,Perfect for Home Studios,5,"At 50 watts, these are the perfect monitor speakers for someone building out a home studio. They have good bass, treble and a decent mid range. They are wired though, so if you’re looking for a wireless speaker this isn’t your option. I would recommend also looking for a different plug if you’re in the UK as the kettle leaf provided doesn’t appear to be fused and does not have the British, or EU safety standards adhered to. There isn’t an option to amend the quality of sound coming through the s"
71,Desktop speakers,5,"Wish I'd bought there years ago, they are simply excellent. As computer desktop speakers and monitors, the sound is out of this world. Excellent."
72,returned as not working,2,Had to return these as they did not work
73,For DJ Deckw,5,I must say these speakers are amazing when I received these I was hoping I did not have to return but these are amazing if you are a looking for dj speakers I would advise you to get a RCA cable with double sides which this is not provided with double RCA cable but apart from that amazing
74,Excellent sound for the price if you can tolerate an ever-present quiet hiss,4,"There is a constant hiss coming from the speakers. It is not particularly loud but it is present regardless of if the volume is turned all the way down or not, and above around 70% volume the hiss gets louder. It is not affected by any adjustments to volume from the source (PC) and the hiss is still present even when there are no cables other than the power attached.

That being said, I do not know whether this is normal for a pair of speakers like this. I upgraded from a pair of Creative Gigawo"
75,My Son is very happy with his new speakers!,5,My 13 year old son did his research to find the best quality speakers for around this price range and these were the best ones he found. He is very happy with them.
76,"Loud, and very clear audio",5,
77,Good speakers for this money. All well thank you. C,5,Good speakers for this money. All well thank you.
78,Great monitors,5,These are great monitors for true clarity
79,good price,5,works just fine if u like bass/subass
80,Astounding Sound Quality,5,"These are by far the best speakers I have ever used on my PC - absolutely stunning sound quality, very clean and not overpowering bass. For the first time I have the EQ setting on neutral to just enjoy the pure clarity that these offer.

Perfect for music, videos and gaming!"
81,Excellent speakers for gaming computers,5,"Well made , quality sound."
82,"Great subwoofer, however needs slight modification",4,"Good sounding subwoofer, works nicely with the Eris 3.5 speakers. However I noticed there was a fairly loud humming noise coming from the transformer.

Transformers make noise by nature however it was quite loud in this sub. I believe it was being caused from the transformer vibrations resonating through the case of the sub due to a poor mount between the case and the transformer.

After reading a review also mentioning this I ended up re-mounting the transformer with some anti vibration washers"
83,Excellent experience,5,"Highly recommend I bought the 3.5” and will definitely be back for larger speakers in the future, sound quality is great, really wide audio range for gaming, music, or even cinema viewing. Bass & treble knobs on rear for full control. Only thing I don’t like the led and power button are on opposite sides so trying to turn them off in the darks not optimal but other than that"
84,No repair option outside of warranty,1,"The product in question worked well for the full warranty period and stopped working 15 days after the two year warranty. Amazon were unable to assist (reasonable as outside of warranty) and PreSonus support's response has been ""The cost of transport to a repair centre, the repair and return shipping is not cost effective in comparison to the purchase of a new pair with a full warranty.""

The above is very poor from an environmental perspective as it pushes repairable equipment to waste without "
85,"Excellent sound quality, particularly for the price, accurate Full Range Flat Response",5,"Works well as PC monitor, also as a monitor for guitar multi-effects pedal, with stereo output directly to the powered speaker."
86,Broke not long after the warranty ran out,2,"The monitors started to crackle a few days ago, particularly when playing content with bass. The crackling grew increasingly worse and the have now failed completely. Presonus customer support was very poor. They sent me a few stock questions, the answers to which I had mostly already covered in my initial note to them, and then refused to engage further once I showed them the invoice and could see it was out of warranty. I was not offered the opportunity of a paid repair, which is very poor in "
87,Quality,5,Quite nice product
88,Sound Quality quite good,5,"The sound quality is crisp and adequate for the price. As I have become accustomed to Bose products I tend to be hard to please, so my rating is for the price point."
89,Used as Piano Speakers,5,"I bought these to use as powered speakers to go with a Kawai ES110 electric piano. They are brilliant. They sound good, are compact, easy to set up and are a good way to get a good sound without having to complicate things. In fact, you don't even set them up; you just connect and turn on. Easily worth the money and totally recommended to run your keyboard through.
Not used for gaming so can't judge that but I have no doubt these speakers will sound good for that as well."
90,these cannot be surely reference speakers,1,"Spend more for better quality, otherwise these would be great for watching Linus on YouTube."
91,Great sound,5,"I have a small studio were I do my video editing and they are the perfect size. Very clear sound, I can now hear lots more detail."
92,"Very good clarity, vocals and even bass sound better than expected",5,"After lots of research got it down to two sets for consideration, these and the Edifier R1700BT, after many video reviews and careful listening, i preferred how the bass sounded on the Edifier R1700BT, but the rest sounded a little muddy, the PreSonus Eris E4.5 sound more clear but lacked the same bass sound the Edifier R1700BT produced, hard to tell for sure via youtube review over your own headset for sure, perfect world would have liked to had the two on my desk to review, but as it goes the "
93,Brilliant for home and personal use,5,If you're looking for good studio quality sound that can be used at home then these are perfect. They can still pump out quite loud but if you're looking for something that's going to be used for a studio then you'd want more than these
94,Crap,1,I just have no comment. Worse refurbished item I've ever had. Sloppy work.
95,Great for a small home studio setup.,5,"I use this set of monitors in a small home studio, making mainly electronic music. Crystal clear sound, and very neutral. If you need to make changes to the tonal response, there are a pair of controls on the back panel. Pretty unbeatable for the price."
96,Best sound,5,"Best sound,quality studio monitors"
97,Quality set of compact monitors,5,Sound quality is excellent considering the size and price. Would buy again in a heartbeat.
98,The best for it’s money! Solid sound!,5,"Best studio speakers if your on a budget.
Clear sound with good bass."
99,Great sound quality,5,They're perfect. Love them. Great quality.
100,Pretty Pretty Good.,4,Nice flat sound.
101,Absolutely awesome,5,These speakers are great for a small room. Super crisp and clear clarity. I couldn't be happier. The fact only one of them needs to be powered is a huge win over larger monitors. I paired them up with an Adam Sub7 and it feels like the perfect solution for a small space. The speakers on their own certainly lack the low end I was looking for - but if you are pairing them with a sub they work the mid/high frequencies extremely well!
102,Fantastic speakers,5,"Really good speakers for the price and size.

I run guitars through a Line 6 Helix, record using GarageBand, and stream music from my phone over Bluetooth.

Great, clear sound, surprisingly rich bass response.

Would buy again."
103,They are really good quality monitors!,5,"They are really good quality for the price, more than I expected. I really like it!"
104,Very good,5,Very nice top quality 👌
105,Amazing Sound!,5,"Bought for Bedroom DJ Setup, really clear sound and decent lower end if you use the bass volume on the back, I was on a strict budget and got these as 2nd option but im really glad I did, very happy."
106,proper,5,"amazing for fun studio or daily music listening, on Logic Pro x the bass is a bit weird ngl but on professional mixes and masters this is insane"
107,Excellent range,5,"Don’t forget to increase the lows at the back for those that like more bass (for those parties). Im hearing more instruments and sounds than in my previous speakers. Insane value for money - was contemplating the similar pioneers, but with Bluetooth included and still being cheaper these are a no brainer"
108,"Good value, but only for computer speakers",4,For the price point they are excellent computer speakers. I do not think they would be of sufficient sound quality for music production. If you’re looking for that maybe try the next model up at least and add another couple of hundred to your budget.
109,yes!,5,"These speakers were my 75th birthday present to myself. So many things are going downhill in the world today that it is to be noted and celebrated that affordable quality audio gets better and better. I'm listening to things I first listened to in the 50s, 60s and 70s and I'm hearing stuff that I never heard before. Good stuff such as a differentiation between separate instruments or voices which before were just blended together. I paid £145 - worth every penny. Thanks Presonus."
110,Amazing price/quality ratio,5,"I wasn't expecting much for the price (although the glowing reviews hinted at some good potential), but these sound absolutely fantastic. I haven't tried them for mixing yet, but for general listening they compare very, very favourably to a pair of Rokits I had for a long time (bearing in mind the obvious difference in woofer size). They just sound clear, natural but still punchy. without any overbearing frequencies. Perhaps a bit tight overall, but I would expect that to mellow out as the cones"
111,Great desktop Speakers for a clear sparkling reproduction of music,5,"After MUCH deliberation I bought these for my office at work to listen to music at lower levels (and not so low when most of the workforce has gone home). I did quite a bit of research and there were quite a few recommendations for these. The next option level up I was considering were over double the price.

Overall Im very happy with them, They do lack a bit of low end, I find the AudioEngine A2's I have at some while smaller have quite a bit more punch and low end, however, they don't image n"
112,excellent,5,"a really nice pair of speakers, i use them for my main audio needs not just for pc"
113,stopped working after 4 days,1,"bought these a few days ago, sounded great, but now they don't make any sound , waste of money"
114,Love it!,5,This speakers are insane.
115,Good for music production on a budget or gaming or multimedia.,5,Well worth the price tag.
116,Brilliant speakers,5,"Good quality
Sturdy, robust
Easy to setup and use
Good design
Sounds fantastic"
117,"Don’t be put off by the size, these speakers sound great!",5,"Had to leave a set of Fluid monitors when I relocated from abroad and I wanted a small but powerful set of monitors. These definitely meet my requirements and are good for entertainment, music and for studio monitoring. Very happy with them."
118,Wicked little monitors,5,"The frequency range is great. There’s enough low end and the brightness isn’t too brittle. I had the M-Audio BM5s before and these are way better. Lovely and flat but with enough punch. Connectivity options are great too, just one plug socket needed! Crazy value for money"
119,Great on paper,3,"Had a hum on one of the units and had to return. Such a shame as, otherwise the sound quality was excellent. Build quality, however, is obviously suspect."
120,Excellent value,4,"Good quality at a budget price There will be better ones out there, but these are ideal for a budget studio set up. I'm not a gamer so I cannot comment for such applications."
121,"These speakers sound great, studio monitors",5,"I've had these for nearly a year and they've been used as day to day speakers for my iMac and also for mixing audio, I've found them to be really good especially for the price. From a musician who is always looking for the best quality sound I recommend these"
122,Clear sound. Great for mixing and listening.,5,Really great value and sound. I compared them with some mackie cr3 speakers. These where far clearer. I have used them only a short time for gaming and they sound very good because there is a high and low control on the speakers to tweek the sound. They also work great wth my behringer xenyx 1202usb mixer.
123,They sound amazing for the price tag.,5,I bought these monitors as I love the flat profile. As son as my teenage son listened to them that was it. I gave it to him and upgraded to a pair of KRK 5 gen 4. I highly recommend these speakers. They sound great via a DAC or even a record player.
124,Bass not very good,2,Ok so i took the plunge and thought £100 should get me some decent pc speakers and after watching the you tube videos i was sure i was on to a winner. However if you want bass with your music then these are not the speakers for you. The overall sound was very tinny and to be honest the sound from old £30 speakers was better
125,Pretty darn good.,4,"Very good deep bass of this little sub, I am the picky one and I've returned SUB's 3 times this little fella price. All thought is good for normal listening volume it lacks a little of power when you want to go wild and you want you neighbours to call for the police, but other than that I am fully pleased with the sub."
126,Best I've ever had,5,"It's truly amazing, I'm not an audiophile but i could hear the other speaker's low quality sound. This one is top notch. I can only recommend. Easy to setup, bluetooth works perfectly with my mac mini m1."
127,Very pure sound,4,"Early days but so far I am very impressed but with reservations. It appears that for a number of people they have stopped working within 2 years. Someone commented that there is a power chip with a heatsink that gets very hot which could be the cause. With this in mind I took out the 3 year insurance from Amazon, which knowing my luck probably means they will go wrong after that runs out. However, the pureness of the sound is excellent. For a number of years manufacturers have produced sound sys"
128,Probably the best speakers for less than £100.,5,"I quite like these speakers. They are not your usual drowned mids/artificial bass boost bookshelf speakers., instead they are trying to be faithful to the source. I think they perform fairly well both for music listening and movies/videogames, while they still give you a lot of information if you want to do some music production. Not bad at all, considering they are as tiny as 3.5"" speakers can get, saving you a lot of space on your desk.

Apart from sounding great, they pack some nice features "
129,They do what i need them to,4,great sounding little monitors. perfect for home or small studio. but thats it! don't expect them to be loud enough for any other use.
130,Sound Quality,5,"I had to get them replaced as there was a buzzing sound the replacements were perfect, but the buzzing sound came from the speaker that plugs to electricity. Once that was unplugged buzzing went away leaving clear sound and loud and quality."
131,Nice quality sound,5,I bought this speakers to make some music production in i loved it
132,Great Pair of Speakers,5,"PreSonus Eris E4.5

Arrive in a nice box with a power lead, small jack to phono (which is typically what you need to connect them to a PC or portable device), and a length of speak wire to connect the two speakers together. I didn’t measure any of the leads but most of them are about 1.5m and the speaker wire is about 1.8m. The speaker wire is nothing special, no propitiatory plugs on the end, so easy to replace if you need something longer.

I bought these as a pair of computer speakers. Having"
133,Decent sounding speakers,5,"As per title, these are decent sounding speakers, they don’t have a huge volume output but loud enough for a house. Look good, easy to wire up & decent price, recommended."
134,Very pleased with speakers!,5,Very pleased with the bass and volume. Excellent purchase. I'm very happy. Having great fun with 5 year old nephew blasting the melodic techno
135,Great for home studio,5,Cristal clear sound with adjustable low and mid tones. Good sized speakers for home studio. Absolutely love them. Would highly recommend to anyone getting into home recording. Would like to have them a little bit louder but that is personal preference and either way you will not be disappointed with them. With the added bonus of studio one artist software which on its own is around £80 to buy these are worth every penny.
136,Definitely adds oomph,5,Was skeptical whether this would complement my Eris E5s. But it definitely fills a gap in my bad acoustic home studio.
137,Amazing for the price!,5,"Some of the best speakers, amazing sound, and build quality. Would 100% recommend if you are in the market for some studio monitors"
138,Vast improvement on cheap PC speakers,5,"My Logitech Z506 5.1 PC sound system served me well for a decade but finally decided to stop working. As a temporary measure I set up the Dell PC speakers that had come with the system, and was shocked at how bad they were were! I was about to buy the Z607 speaker system, as being the nearest direct replacement to the Z506, when I spotted a recommendation on the Internet to try the PreSonus Eris E3.5 instead. I was a bit dubious about ""downgrading"" to just stereo speakers, but I had long stopped"
139,Good value,5,Tough speakers and compact. Good sound. I use for mixing audio and they give a good clear sound
140,Yeah ! Packing a Punch,5,"For the their size these speakers pack a punchy bass but the overall sound is rich and pleasing, vocals are clear and highs are detail crisp, I'm no HIFI expert but know when speakers for the intended purpose sound great and this pair are superb and do the job perfectly. Love them"
141,Best value monitor speaker,5,Best value monitor speaker! Had bought 3 monitor speakers in the past but this one really has a good sound quality than the branded one’s I had.
142,Great sounding,5,Compact great little speakers use them for gaming and sound design and they kick hard when you want them to.
143,VEEY GOOD,5,"Ideal monitor speakers for use in home recording for final mixdown. Also, useful as controls to use them with the pc for listening to music, and to play backing tracks to practise guitar to. Amazing sound for such a compact size."
144,Worth it for the money but no anti-thump on US style power switch.,5,"These speakers provide a clear, unmuddled sound stage. The frequency response seems reassuringly flat. Place on foam or similar to dampen vibrations which would otherwise skew the response. Loud enough for a 3x6m room."
145,"Good solid sound, well priced.",4,"Small, pack a punch and great value. I had to replace my 20 year old passive speakers for my little home studio.
These speakers give a good flat sound and are well worth the money. I use them in a room 2 by 2 metres for DJ ing and music making. They don't go super loud but for near field monitors that should not be needed or a problem. If you have a few extra quid go for the pioneers but if little me budget is tight, these are the boys for you."
146,Best quality for music!,5,"I use these amazing speakers for gaming, but specially for music, I produce music so that’s ve eh essential to have good speakers and for the price also I think this is the best around"
147,Decent quality speakers.,4,"Picked these up on Prime Day and they are a really decent quality speaker - ideal for turntables, computer or smart phone. Very good build quality, feel sturdy and sound great."
148,Solid performance,5,Fills the sonic gap I had with the 3.5 matching speakers. Cabling can be a bit tricky but i would recommend WBC (world's best cables) with the eminence connectors and classic xke quad mic cable. and buy longer than you think. A great sub would recommend the 3.5 presonus speakers as well
149,Great speaker but bluetooth is not being remembered,4,"I love the design, it looks neat and amazing. However, one issue the Bluetooth device is not being stored. After turning off the speaker then turn it on later during the day, my device cannot connect anymore. I need to ‘pair’ it again by pressing the button at the back of the speakers. Quite a hassle for me (thus 4 stars)."
150,More powerful than you’d think,5,"Standard monitors, good control and output, does not come with all cables, you will have to buy your own TRS cables"
