,Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,pipeline_score,Clean Review,Review,Title,Content,Rating,Sentiment,Year,Month,Day,Review Length,Word Count
17,17,0.039,0.805,0.156,0.9854,0.03253832086920738,0.2000950127840042,0.7673666477203369,0.96874,everything ever wanted best sound ever presonus e5bt incredible clear sound reference speakers absolutely brilliant desktop setup laptop desktop computer ideal small studios e5bt gives excellent sound lots functionality easy setup pleasure use everything want front left speaker power volume line phones bt5 works well easy connect anything 5 inch driver gives full clear sound rear port adds solid accurate bass response eq flat pancake left speaker actively amped right passive amp jumps output 50w 5 better quality 3 4 inch 25w uniquely trs sub nice connecting sub quick easy cheap rear ported need space not bang brick wall basic acoustic modeling chosen speaker position possible controls rear speaker see end post studio setup lowest volumes need cut line volume freebie music software distraction don waste time get ableton e5bt quality clarity makes music production dream hear every detail every track picked modified levels accurately set dump cables supplied box get good quality shielded cable connectors tisino make trs stereo splitter cable amazon good choice basic direct computer connection 3 5 jack line voltages well shielded risk interference hum crosstalk pro speakers good practice switch power speakers first last accidental pops explosive cracks damage near field worth getting 5 inch no substitute shifting lots air 5 full solid bass double amp power get lots headroom distortion good value money speak,"everything you've ever wanted - best sound ever.. presonus e5bt incredible clear sound. these reference speakers are absolutely brilliant for a desktop setup with a laptop or desktop computer. ideal for small studios. the e5bt gives excellent sound, has lots of functionality, is easy to setup, a pleasure to use. everything you could want is on the front of the left speaker – power, volume, line in, phones out, & bt5 that works very well – easy connect anything. the 5 inch driver gives a full clear sound & the rear port adds a solid accurate bass response. eq as flat as a pancake. only the left speaker is actively amped, the right is passive. the amp jumps in output to 50w in the 5’s & is better quality - the 3 & 4 inch are 25w. uniquely there’s a trs sub-out which is nice, so connecting a sub is quick, easy & cheap. they are rear ported so they need some space – not bang up against a brick wall. basic acoustic modeling for the chosen speaker position is possible with controls at the rear of the speaker - see end of post for studio setup. for the lowest volumes you’ll need to cut the line volume. the freebie music software is a distraction, so don’t waste your time - get ableton..the e5bt’s quality & clarity makes music production a dream. you can hear every detail, so every track can be picked out, modified & levels accurately set. dump the cables supplied in the box & get some good quality shielded cable connectors. tisino make a trs stereo splitter cable from amazon - a good choice for a basic direct computer connection with a 3.5 jack. all line voltages should be well shielded or you risk interference, hum, crosstalk. as with all pro speakers its good practice to switch the power to the speakers - off first - on last - accidental pops & explosive cracks do damage..these are near field but it’s worth getting the 5 inch as there is no substitute for shifting lots of air – the 5’s have a full solid bass & double the amp power, so you get lots of headroom before distortion. they are good value for money. these speak",everything you've ever wanted - best sound ever.,"presonus e5bt incredible clear sound. these reference speakers are absolutely brilliant for a desktop setup with a laptop or desktop computer. ideal for small studios. the e5bt gives excellent sound, has lots of functionality, is easy to setup, a pleasure to use. everything you could want is on the front of the left speaker – power, volume, line in, phones out, & bt5 that works very well – easy connect anything. the 5 inch driver gives a full clear sound & the rear port adds a solid accurate bass response. eq as flat as a pancake. only the left speaker is actively amped, the right is passive. the amp jumps in output to 50w in the 5’s & is better quality - the 3 & 4 inch are 25w. uniquely there’s a trs sub-out which is nice, so connecting a sub is quick, easy & cheap. they are rear ported so they need some space – not bang up against a brick wall. basic acoustic modeling for the chosen speaker position is possible with controls at the rear of the speaker - see end of post for studio setup. for the lowest volumes you’ll need to cut the line volume. the freebie music software is a distraction, so don’t waste your time - get ableton..the e5bt’s quality & clarity makes music production a dream. you can hear every detail, so every track can be picked out, modified & levels accurately set. dump the cables supplied in the box & get some good quality shielded cable connectors. tisino make a trs stereo splitter cable from amazon - a good choice for a basic direct computer connection with a 3.5 jack. all line voltages should be well shielded or you risk interference, hum, crosstalk. as with all pro speakers its good practice to switch the power to the speakers - off first - on last - accidental pops & explosive cracks do damage..these are near field but it’s worth getting the 5 inch as there is no substitute for shifting lots of air – the 5’s have a full solid bass & double the amp power, so you get lots of headroom before distortion. they are good value for money. these speak",5,Positive,2023,4,28,2050,378
18,18,0.039,0.856,0.105,0.9218,0.030166123062372208,0.1622125506401062,0.8076213598251343,0.98581,not like first near field monitor speakers designed flat frequency response means need closer near ear height speaker separation dependent distance form optimum triangle complete recommended listening position unlike consumer speakers eq set speaker level provide uncoloured flat eq response gives accurate representation input sound source mix audio without adding unwanted eq bias straight box not tuned room acoustics not like slightly bass heavy due lower frequencies sound reflecting walls tweaked bass 1 db treble 1 db result perfect purposes bluetooth connectivity convenient function front switch volume control aux headphones great design features recommend using balanced trs inputs build quality product excellent not forget register software downloads handy setup tutorial,"did not like at first?. these are near-field monitor speakers designed to have a flat frequency response. this means they need to be closer to you at near-ear height, with speaker separation dependent on distance to form that optimum triangle you complete in the recommended listening position. unlike consumer speakers with eq set at speaker level, these provide an uncoloured flat eq response. this gives a more accurate representation of the input sound source, so now you can mix your audio without adding any unwanted eq bias. straight out of the box and not tuned to my room acoustics, i didn't like they were slightly bass heavy due to the lower frequencies of sound reflecting off walls. i tweaked the bass by -1 db and the treble by +1 db, the result is now perfect for my purposes. the bluetooth connectivity is just a convenient function for me, the front on/off switch, volume control, aux in and headphones out are great design features. i recommend using the balanced trs inputs. the build quality of this product is excellent. don't forget to register for software downloads and a handy setup tutorial.",did not like at first?,"these are near-field monitor speakers designed to have a flat frequency response. this means they need to be closer to you at near-ear height, with speaker separation dependent on distance to form that optimum triangle you complete in the recommended listening position. unlike consumer speakers with eq set at speaker level, these provide an uncoloured flat eq response. this gives a more accurate representation of the input sound source, so now you can mix your audio without adding any unwanted eq bias. straight out of the box and not tuned to my room acoustics, i didn't like they were slightly bass heavy due to the lower frequencies of sound reflecting off walls. i tweaked the bass by -1 db and the treble by +1 db, the result is now perfect for my purposes. the bluetooth connectivity is just a convenient function for me, the front on/off switch, volume control, aux in and headphones out are great design features. i recommend using the balanced trs inputs. the build quality of this product is excellent. don't forget to register for software downloads and a handy setup tutorial.",5,Positive,2023,4,28,1117,190
19,19,0.0,0.825,0.175,0.91,0.0016779592260718346,0.014635720290243626,0.9836862683296204,0.99808,neutral sonics first pair studio monitors enjoyed listening pc media first noticed silent neutral presentation used use q acoustics bt3 speakers certainly clearer acoustic not producing music far happy sound construction adequate,very neutral sonics. these are my first pair of studio monitors and i have enjoyed listening to my pc media through them. first noticed how silent they are and neutral in their presentation. used to use the q acoustics bt3 speakers and these certainly have a clearer acoustic. not producing music but so far very happy with their sound and the construction is more than adequate.,very neutral sonics,these are my first pair of studio monitors and i have enjoyed listening to my pc media through them. first noticed how silent they are and neutral in their presentation. used to use the q acoustics bt3 speakers and these certainly have a clearer acoustic. not producing music but so far very happy with their sound and the construction is more than adequate.,5,Positive,2023,4,28,379,66
20,20,0.376,0.624,0.0,-0.9259,0.973818838596344,0.023667313158512115,0.002513859886676073,-0.99965,badly manufactured glue missing main cone resulted bad vibrations hissing not happy overall build monitors not recommend anyone,"badly manufactured!!. glue missing on the main cone which resulted in bad vibrations and hissing, not happy with the overall build of these monitors, would not recommend to anyone",badly manufactured!!,"glue missing on the main cone which resulted in bad vibrations and hissing, not happy with the overall build of these monitors, would not recommend to anyone",2,Negative,2023,4,28,179,29
21,21,0.0,0.741,0.259,0.8439,0.0028780915308743715,0.022998526692390442,0.9741233587265015,0.99973,great use kawai keyboard neat well made accurate neutral crisp perfect needs although tempted add eris sub 8,"great!. i use them with my kawai keyboard. neat, well made, accurate, neutral and crisp. perfect for my needs, although i am tempted to add an eris sub 8, just.... because....",great!,"i use them with my kawai keyboard. neat, well made, accurate, neutral and crisp. perfect for my needs, although i am tempted to add an eris sub 8, just.... because....",5,Positive,2023,4,26,175,31
22,22,0.165,0.679,0.155,-0.0883,0.006938016973435879,0.03182874619960785,0.9612331986427307,0.99874,wicked speakers price size blown away quality sound loud good bass no distortion highly recommended,wicked speakers. for the price and size i was blown away by the quality of sound on these. very loud and good bass with no distortion. highly recommended,wicked speakers,for the price and size i was blown away by the quality of sound on these. very loud and good bass with no distortion. highly recommended,5,Positive,2023,4,24,153,28
23,23,0.0,0.783,0.217,0.7263,0.002244781469926238,0.033045463263988495,0.9647098183631897,0.99988,good quality sound bought husbands small music room link gadgets pleased sound quality,good quality sound. bought for my husbands small music room to link up to all his gadgets! he's pleased with the sound and quality.,good quality sound,bought for my husbands small music room to link up to all his gadgets! he's pleased with the sound and quality.,5,Positive,2023,4,22,131,24
24,24,0.033,0.645,0.322,0.9485,0.003412113059312105,0.023396724835038185,0.9731911420822144,0.99924,running delivered well respectfully great little speakers power punch aa previous mackie 5 studio monitors stopped working bought work great home studio running thank goodness,"up and running. delivered well and respectfully. great little speakers with the same power punch aa my previous mackie 5"" studio monitors which just stopped working. so bought these and they work great 👍. my home studio is up and running again thank goodness.",up and running,"delivered well and respectfully. great little speakers with the same power punch aa my previous mackie 5"" studio monitors which just stopped working. so bought these and they work great 👍. my home studio is up and running again thank goodness.",5,Positive,2023,4,19,259,44
25,25,0.017,0.774,0.209,0.9831,0.0019516595639288425,0.010916166938841343,0.98713219165802,0.97554,make music buy wow great speakers small powerful enough needs producer tempted another pair bluetooth also im sooo glad got registering speakers gets free plugins 15 plugins software 16 include 3 month trial soundsnap dont see image included freebies alone makes soo worth theres plugin alliance bundle included thats worth 400 see images get free terms monitors job silent no hiss hum great sound keep bass treble centred obviously preference way mix best purchase year thank pre sonus,"if you make music; buy these!. wow, these are great speakers. small, but powerful enough for my needs as a producer..i was tempted by another pair that were bluetooth also. im sooo glad i got these...registering these speakers gets you some free plugins too. 15 plugins and software (16 if you include the 3 month trial to soundsnap- which i dont) see image of included freebies...this alone makes these soo worth it..theres a plugin alliance bundle included thats worth over £400 (see images) and you get for free...in terms of the monitors themselves, they do the job. silent when on (no hiss or hum) great sound. i keep bass and treble centred but is obviously down to preference and the way you mix...best purchase of the year for me. thank you pre-sonus!",if you make music; buy these!,"wow, these are great speakers. small, but powerful enough for my needs as a producer..i was tempted by another pair that were bluetooth also. im sooo glad i got these...registering these speakers gets you some free plugins too. 15 plugins and software (16 if you include the 3 month trial to soundsnap- which i dont) see image of included freebies...this alone makes these soo worth it..theres a plugin alliance bundle included thats worth over £400 (see images) and you get for free...in terms of the monitors themselves, they do the job. silent when on (no hiss or hum) great sound. i keep bass and treble centred but is obviously down to preference and the way you mix...best purchase of the year for me. thank you pre-sonus!",5,Positive,2023,4,18,759,132
26,26,0.045,0.673,0.282,0.9134,0.0029927180148661137,0.011082852259278297,0.9859244227409363,0.99986,amazing sound quality ridiculously good small fill room vibrant sound price incredible better samsung speakers cost double price highly recommended,"amazing. the sound quality from these is ridiculously good, they are only small and fill the room with vibrant sound. for the price they are incredible, better than my samsung speakers that i have which cost more than double the price. highly recommended",amazing,"the sound quality from these is ridiculously good, they are only small and fill the room with vibrant sound. for the price they are incredible, better than my samsung speakers that i have which cost more than double the price. highly recommended",5,Positive,2023,4,18,254,43
27,27,0.0,0.502,0.498,0.9312,0.0015848700422793627,0.014424324035644531,0.9839907884597778,0.99985,monitors worth every penny good round monitors excellent value perfect small home studio,these monitors are worth every penny.. very good all round monitors. excellent value and perfect for the small home studio.,these monitors are worth every penny.,very good all round monitors. excellent value and perfect for the small home studio.,4,Positive,2023,4,17,123,20
28,28,0.0,0.8,0.2,0.8402,0.002977105788886547,0.02977888472378254,0.9672439694404602,0.99966,4 5 amazing quality value months astounded quality price point hooked scarlett solo 3rd gen audio interface never looked back,"4.5"" amazing quality and value. had these for a few months now and have just been astounded by the quality for the price point. hooked these up to my scarlett solo 3rd gen audio interface and have never looked back.","4.5"" amazing quality and value",had these for a few months now and have just been astounded by the quality for the price point. hooked these up to my scarlett solo 3rd gen audio interface and have never looked back.,5,Positive,2023,4,14,215,40
29,29,0.042,0.764,0.194,0.9229,0.057027168571949005,0.13372235000133514,0.8092504739761353,0.99301,compact sound great use speakers pc happy price sound good come useful selection inputs kind audiophile looks oxygen free copper cables gold contacts mains plugs hate need powered speakers pc kitchen likely entirely satisfied,compact and sound great. i'm use these as speakers for my pc and i'm very happy with them. for the price they sound good and come with a useful selection of inputs. if you're the kind of audiophile who looks for oxygen-free copper cables and gold contacts on your mains plugs then you'll hate them. if you just need some powered speakers for your pc or your kitchen then you'll likely be entirely satisfied.,compact and sound great,i'm use these as speakers for my pc and i'm very happy with them. for the price they sound good and come with a useful selection of inputs. if you're the kind of audiophile who looks for oxygen-free copper cables and gold contacts on your mains plugs then you'll hate them. if you just need some powered speakers for your pc or your kitchen then you'll likely be entirely satisfied.,5,Positive,2023,4,12,407,74
30,30,0.0,0.563,0.437,0.8777,0.0028476882725954056,0.03366760537028313,0.9634846448898315,0.99816,outstanding price good advertised one two useful vst plugins included,outstanding for the price. as good as advertised and one or two useful vst plugins included!,outstanding for the price,as good as advertised and one or two useful vst plugins included!,5,Positive,2023,4,12,92,16
31,31,0.063,0.839,0.098,0.5526,0.0036260895431041718,0.02569586969912052,0.9706779718399048,0.99765,made big difference small bedroom studio use presonus sub pair kali lp6s adding sub meant monitors headroom sound small studio much enjoyable master track using set no lot fun making music critical listening use decent pair headphones,"made big difference in my small bedroom studio.. i use the presonus sub with a pair of kali lp6s and adding the sub meant that the monitors have more headroom and the sound in my small studio is so much more enjoyable. could i master a track using this set up? no. but i have a lot more fun making music now, and for critical listening i use a decent pair of headphones.",made big difference in my small bedroom studio.,"i use the presonus sub with a pair of kali lp6s and adding the sub meant that the monitors have more headroom and the sound in my small studio is so much more enjoyable. could i master a track using this set up? no. but i have a lot more fun making music now, and for critical listening i use a decent pair of headphones.",5,Positive,2023,4,5,370,73
32,32,0.0,0.641,0.359,0.9848,0.0019359942525625229,0.008445835672318935,0.9896181225776672,0.9998,wow amazing not expect much clarity base fantastic using produce music hobbie home studio exceeded expectations great price hear every single channel instrument vocals definitely recommend sure probably best monitor speakers purchased years also larger expected good thing easy setup,"wow amazing!. i didn't expect this much clarity and the base is fantastic. i am using these to produce music ""hobbie"" home studio and they exceeded my expectations for such a great price. you can hear every single channel, instrument, vocals. i would definitely recommend these for sure. probably the best monitor speakers i have purchased over the years. they are also larger than expected which is a good thing, easy to setup.",wow amazing!,"i didn't expect this much clarity and the base is fantastic. i am using these to produce music ""hobbie"" home studio and they exceeded my expectations for such a great price. you can hear every single channel, instrument, vocals. i would definitely recommend these for sure. probably the best monitor speakers i have purchased over the years. they are also larger than expected which is a good thing, easy to setup.",5,Positive,2023,4,1,428,73
33,33,0.028,0.713,0.26,0.9556,0.00549297034740448,0.07527178525924683,0.9192352294921875,0.96309,good bass reproduction size good sub small medium sized room good bass 8 inch woofer use stereo setup home theatre value money good music paired q accoustics 3030i nad 3045 amp bow get full bass missing bookshelf speakers value money product good sturdy build,"very good bass reproduction for the size. very good sub for small to medium sized room, very good bass from the 8 inch woofer , use it for stereo setup in my home theatre, value for money, very good for music, paired it with my q accoustics 3030i’s and nad 3045 d amp, bow i get the full bass missing in bookshelf speakers, value for money product, good sturdy build.",very good bass reproduction for the size,"very good sub for small to medium sized room, very good bass from the 8 inch woofer , use it for stereo setup in my home theatre, value for money, very good for music, paired it with my q accoustics 3030i’s and nad 3045 d amp, bow i get the full bass missing in bookshelf speakers, value for money product, good sturdy build.",5,Positive,2023,4,1,367,70
